company_raw,company_normalized,official_name,factset_entity_id
Adobe Systems Incorporated,adobe systems,Adobe Inc.,000BJT-E
AMD,amd,"Advanced Micro Devices, Inc.",000BK7-E
Aflac,aflac,Aflac Incorporated,000BMH-E
Alaska Airlines,alaska airlines,"Alaska Air Group, Inc.",000BNX-E
Alaska Airline,alaska airline,"Alaska Air Group, Inc.",000BNX-E
Hess Corporation,hess,Hess Corporation,000BVL-E
UHaul,uhaul,AMERCO,000BVM-E
U-Haul,u haul,AMERCO,000BVM-E
American Express,american express,American Express Company,000BY7-E
American Express Global Business Travel,american express global business travel,American Express Company,000BY7-E
AIG,aig,"American International Group, Inc. (AIG)",000BZV-E
Amgen Inc.,amgen,Amgen Inc.,000C35-E
Analog Devices Inc.,analog devices,"Analog Devices, Inc.",000C4B-E
"Apple, Inc.",apple,Apple Inc.,000C7F-E
ADM DO BRASIL LTDA,adm do brasil ltda,Archer-Daniels-Midland Company,000C8L-E
Armstrong World Industries,armstrong world industries,"Armstrong World Industries, Inc.",000C9Q-E
Autodesk,autodesk,"Autodesk, Inc.",000CFP-E
ADP,adp,"Automatic Data Processing, Inc. (ADP)",000CFX-E
Adp Global Logistics Inc Usa,adp global logistics usa,"Automatic Data Processing, Inc. (ADP)",000CFX-E
AVERY DENNISON (INDIA) PVT LTD,avery dennison india pvt,Avery Dennison Corporation,000CGC-E
Ball,ball,Ball Corporation,000CJY-E
Bank of Montreal,bank of montreal,Bank of Montreal (BMO),000CKX-E
Nicoventures Trading Limited,nicoventures trading,British American Tobacco plc,000CN6-E
British American Tobacco,british american tobacco,British American Tobacco plc,000CN6-E
British American Tobacco Vranje a.d Vranje,british american tobacco vranje a d vranje,British American Tobacco plc,000CN6-E
British American Tobacco Colombia SAS,british american tobacco colombia sas,British American Tobacco plc,000CN6-E
"British American Tobacco Japan, LTD.",british american tobacco japan,British American Tobacco plc,000CN6-E
British American Tobacco-Vinataba,british american tobacco vinataba,British American Tobacco plc,000CN6-E
Tabacalera Hondureña,tabacalera hondurena,British American Tobacco plc,000CN6-E
BATCA Sucursal Honduras,batca sucursal honduras,British American Tobacco plc,000CN6-E
BATCA Sucursal El Salvador,batca sucursal el salvador,British American Tobacco plc,000CN6-E
British American Tobacco Jordan,british american tobacco jordan,British American Tobacco plc,000CN6-E
BRITISH AMERICAN TOBACCO CHILE OPERACIONES S.A.,british american tobacco chile operaciones s a,British American Tobacco plc,000CN6-E
